,COUNTY,FOREST_AREA,TOTAL_AREA_HA,PERCENTAGE_FOREST_COVER
0,Turkana,285962.0,7035330.0,4.06
1,Marsabit,129396.0,7602995.0,1.7
2,Mandera,78914.0,2598251.0,3.04
3,Wajir,110144.0,5664861.0,1.94
4,West Pokot,78357.0,933689.0,8.39
5,Samburu,269325.0,2102371.0,12.81
6,Isiolo,1356626.0,2538173.0,53.45
7,Baringo,274157.0,1091197.0,25.12
8,Keiyo-Marakwet,113145.0,301805.0,37.49
9,Trans Nzoia,40241.0,249526.0,16.13
10,Bungoma,45049.0,303123.0,14.86
11,Garissa,309264.0,4359107.0,7.09
12,Uasin Gishu,25714.0,340711.0,7.55
13,Kakamega,29656.0,302246.0,9.81
14,Laikipia,64794.0,954386.0,6.79
15,Busia,1848.0,182336.0,1.01
16,Meru,128028.0,699038.0,18.31
17,Nandi,74810.0,284655.0,26.28
18,Siaya,1480.0,354212.0,0.42
19,Nakuru,69563.0,748920.0,9.29
20,Vihiga,5501.0,56300.0,9.77
21,Nyandarua,60310.0,327034.0,18.44
22,Tharaka,50066.0,258007.0,19.4
23,Kericho,54150.0,229962.0,23.55
24,Kisumu,1184.0,267694.0,0.44
25,Nyeri,126883.0,333623.0,38.03
26,Tana River,243320.0,3915365.0,6.21
27,Kitui,215340.0,3043650.0,7.08
28,Kirinyaga,30515.0,147530.0,20.68
29,Embu,26242.0,282315.0,9.3
30,Homa Bay,12334.0,475925.0,2.59
31,Bomet,33927.0,267196.0,12.7
32,Nyamira,6568.0,90905.0,7.23
33,Narok,298828.0,1794207.0,16.66
34,Kisii,3456.0,132112.0,2.62
35,Muranga,36729.0,252651.0,14.54
36,Migori,2029.0,316458.0,0.64
37,Kiambu,42118.0,254473.0,16.55
38,Machakos,20218.0,604411.0,3.35
39,Kajiado,156260.0,2189803.0,7.14
40,Nairobi,5506.0,70806.0,7.78
41,Makueni,106746.0,817225.0,13.06
42,Lamu,209674.0,618507.0,33.9
43,Kilifi,96115.0,1252382.0,7.67
44,Taita Taveta,62113.0,1711824.0,3.63
45,Kwale,44984.0,826391.0,5.44
46,Mombasa,1462.0,28566.0,5.12
